totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
826251.9608839483 -11275.34393721553 -11233.46508575591 424776.9932917256 423983.7766151941 641.7991735842162 0 0 641.7991735842162 -6.206778379787981 648.0059519640042
826252.0541486628 -11274.95533097216 -11233.76042728477 424776.9932917256 423983.7766151941 641.0681677198886 0 0 641.0681677198886 -6.206778379787981 647.2749460996766
826249.8793555192 -11274.87283393861 -11236.01771746189 424776.9932917256 423983.7766151941 641.0637047430548 0 0 641.0637047430548 -6.206778379787981 647.2704831228428
826249.0760053972 -11275.17475343803 -11236.51914808439 424776.9932917256 423983.7766151941 639.9628316930551 0 0 639.9628316930551 -6.206778379787981 646.1696100728432
826249.8366275344 -11278.22998867375 -11232.7032907115 424776.9932917256 423983.7766151941 639.7294332864775 0 0 639.7294332864775 -6.206778379787981 645.9362116662655
826250.6453004137 -11276.11061154977 -11234.01399495629 424776.9932917256 423983.7766151941 640.2050637023551 0 0 640.2050637023551 -6.206778379787981 646.4118420821432
826252.6425992575 -11277.32156079635 -11230.80574686578 424776.9932917256 423983.7766151941 640.6128437060578 0 0 640.6128437060578 -6.206778379787981 646.8196220858458
826261.3885634367 -11270.31984071719 -11229.06150276584 424776.9932917256 423983.7766151941 641.6379599243527 0 0 641.6379599243527 -6.206778379787981 647.8447383041407
826265.1850274425 -11270.64672757183 -11224.93815190531 424776.9932917256 423983.7766151941 641.6763002547231 0 0 641.6763002547231 -6.206778379787981 647.8830786345111
826276.4984204413 -11269.61401437389 -11214.65747210453 424776.9932917256 423983.7766151941 640.8964080177738 0 0 640.8964080177738 -6.206778379787981 647.1031863975618
826276.8370284992 -11271.55199612655 -11212.38088229397 424776.9932917256 423983.7766151941 639.8313112323643 0 0 639.8313112323643 -6.206778379787981 646.0380896121524
826279.5655233844 -11266.93770579477 -11214.26667774045 424776.9932917256 423983.7766151941 639.4543089061164 0 0 639.4543089061164 -6.206778379787981 645.6610872859044
826287.1214978248 -11263.47814689224 -11210.17026220269 424776.9932917256 423983.7766151941 640.2881236088896 0 0 640.2881236088896 -6.206778379787981 646.4949019886776
826279.6326570958 -11266.47675284153 -11214.66049698234 424776.9932917256 423983.7766151941 641.1645315018008 0 0 641.1645315018008 -6.206778379787981 647.3713098815888
826284.1222713542 -11258.32863214419 -11218.31900342132 424776.9932917256 423983.7766151941 641.9187568981458 0 0 641.9187568981458 -6.206778379787981 648.1255352779339
