temperature_0 temperature_1 temperature_2 temperature_3 temperature_4 temperature_5 temperature_6 temperature_7 temperature_8 temperature_9 temperature_10 temperature_11 temperature_12 temperature_13 temperature_14 temperature_15 temperature_16 temperature_17 temperature_18 temperature_19 accepted_hotter_swap_0 accepted_hotter_swap_1 accepted_hotter_swap_2 accepted_hotter_swap_3 accepted_hotter_swap_4 accepted_hotter_swap_5 accepted_hotter_swap_6 accepted_hotter_swap_7 accepted_hotter_swap_8 accepted_hotter_swap_9 accepted_hotter_swap_10 accepted_hotter_swap_11 accepted_hotter_swap_12 accepted_hotter_swap_13 accepted_hotter_swap_14 accepted_hotter_swap_15 accepted_hotter_swap_16 accepted_hotter_swap_17 accepted_hotter_swap_18 accepted_hotter_swap_19 acceptance_ratio_0 acceptance_ratio_1 acceptance_ratio_2 acceptance_ratio_3 acceptance_ratio_4 acceptance_ratio_5 acceptance_ratio_6 acceptance_ratio_7 acceptance_ratio_8 acceptance_ratio_9 acceptance_ratio_10 acceptance_ratio_11 acceptance_ratio_12 acceptance_ratio_13 acceptance_ratio_14 acceptance_ratio_15 acceptance_ratio_16 acceptance_ratio_17 acceptance_ratio_18 acceptance_ratio_19 
1 1.03248 1.18501 1.33243 1.89356 2.59558 4.32102 7.00154 9.62552 16.2549 37.3716 86.761 234.335 693.867 1679.14 5815.01 15021.7 53702.5 189492 1e+06 0 1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0.1612903225806452 0.2258064516129032 0.1612903225806452 0.3548387096774194 0.2580645161290323 0.2903225806451613 0.1935483870967742 0.1935483870967742 0.4193548387096774 0.6129032258064516 0.6451612903225806 0.7096774193548387 0.7096774193548387 0.6451612903225806 0.7096774193548387 0.6451612903225806 0.7741935483870968 0.8387096774193549 0.9354838709677419 0 
1 1.03011 1.19464 1.34206 1.9032 2.60521 4.33065 7.01117 9.63515 16.2645 35.8406 85.23 244.418 670.423 1733.24 5567.36 15498.6 51357.3 187147 1e+06 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0.15625 0.25 0.15625 0.34375 0.25 0.28125 0.1875 0.1875 0.40625 0.59375 0.65625 0.71875 0.6875 0.65625 0.6875 0.65625 0.75 0.84375 0.9375 0 
1 1.02793 1.20531 1.34205 1.947 2.64901 4.37446 7.05498 9.67896 16.3083 34.4665 87.7125 246.9 642.049 1787.86 5344.27 15275.5 53934.3 179889 1e+06 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0.1515151515151515 0.2727272727272727 0.1515151515151515 0.3636363636363636 0.2424242424242424 0.2727272727272727 0.1818181818181818 0.1818181818181818 0.3939393939393939 0.5757575757575758 0.6666666666666666 0.696969696969697 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.7575757575757576 0.8181818181818182 0.9393939393939394 0 
1 1.02592 1.21705 1.35379 1.95874 2.66075 4.38619 7.06671 9.502 16.1314 35.6965 88.9425 248.13 614.864 1760.67 5317.08 15248.3 56902.5 173799 1e+06 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 1 0 0.1470588235294118 0.2941176470588235 0.1470588235294118 0.3529411764705883 0.2352941176470588 0.2647058823529412 0.1764705882352941 0.1764705882352941 0.4117647058823529 0.5882352941176471 0.6470588235294118 0.6764705882352942 0.6470588235294118 0.6764705882352942 0.6764705882352942 0.6764705882352942 0.7647058823529411 0.7941176470588235 0.9411764705882353 0 
1 1.02407 1.21519 1.36245 1.9674 2.66941 4.39485 7.07538 9.51067 16.1401 35.7051 88.9512 236.773 603.507 1749.32 5579.17 14801.3 56455.5 173352 1e+06 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0.1428571428571428 0.3142857142857143 0.1714285714285714 0.3428571428571429 0.2285714285714286 0.2571428571428571 0.1714285714285714 0.1714285714285714 0.4 0.5714285714285714 0.6285714285714286 0.6571428571428571 0.6571428571428571 0.6857142857142857 0.6857142857142857 0.6571428571428571 0.7714285714285715 0.8 0.9428571428571428 0 
1 1.02237 1.21349 1.37198 1.97693 2.67894 4.40438 7.08491 9.5202 15.6796 36.7375 86.2089 245.31 612.044 1676.63 5506.47 15432.3 54133.6 171030 1e+06 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 1 0 0.1388888888888889 0.3333333333333333 0.1944444444444444 0.3333333333333333 0.2222222222222222 0.25 0.1666666666666667 0.1666666666666667 0.3888888888888889 0.5833333333333334 0.6111111111111112 0.6666666666666666 0.6388888888888888 0.6666666666666666 0.6944444444444444 0.6666666666666666 0.75 0.8055555555555556 0.9444444444444444 0 
1 1.02237 1.21349 1.37198 1.97693 2.67894 4.40438 7.08491 9.5202 15.246 36.3039 85.7753 244.876 639.38 1703.96 5264.22 15190 53891.3 170788 1e+06 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 1 0 0.1351351351351351 0.3243243243243243 0.1891891891891892 0.3243243243243243 0.2162162162162162 0.2432432432432433 0.1621621621621622 0.1621621621621622 0.3783783783783784 0.5945945945945946 0.6216216216216216 0.6756756756756757 0.6486486486486487 0.6486486486486487 0.6756756756756757 0.6756756756756757 0.7567567567567568 0.8108108108108109 0.9459459459459459 0 
1 1.0208 1.22629 1.38478 1.98973 2.64267 4.49779 7.17831 9.6136 15.3394 34.9254 84.3967 255.455 622.383 1686.97 5514.79 15440.6 51436.7 168333 1e+06 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1 0 0.131578947368421 0.3421052631578947 0.1842105263157895 0.3157894736842105 0.2105263157894737 0.2631578947368421 0.1578947368421053 0.1578947368421053 0.3684210526315789 0.5789473684210527 0.631578947368421 0.6842105263157895 0.631578947368421 0.6578947368421053 0.6842105263157895 0.6578947368421053 0.7368421052631579 0.8157894736842105 0.9473684210526315 0 
1 1.0208 1.22629 1.38478 1.98973 2.64267 4.49779 7.17831 9.6136 14.942 34.5279 83.9993 267.817 609.275 1673.86 5501.68 16167.9 49665.3 166562 1e+06 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 1 1 0 0.1282051282051282 0.3333333333333333 0.1794871794871795 0.3076923076923077 0.2051282051282051 0.2564102564102564 0.1538461538461539 0.1538461538461539 0.358974358974359 0.5897435897435898 0.6410256410256411 0.6923076923076923 0.6153846153846154 0.6666666666666666 0.6923076923076923 0.6666666666666666 0.717948717948718 0.8205128205128205 0.9487179487179487 0 
1 1.0208 1.22629 1.38478 1.98973 2.64267 4.49779 7.17831 9.6136 14.5747 34.1606 87.2949 258.441 599.898 1664.48 5775.72 15706.7 49204 166101 1e+06 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 0 0.125 0.325 0.175 0.3 0.2 0.25 0.15 0.15 0.35 0.6 0.65 0.675 0.625 0.675 0.7 0.65 0.725 0.825 0.95 0 
1 1.0208 1.22629 1.38478 1.98973 2.64267 4.49779 7.17831 9.44686 14.4079 33.9939 87.1282 270.853 588.932 1731.76 5561.52 15492.5 48989.8 165887 1e+06 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0.1219512195121951 0.3170731707317073 0.1707317073170732 0.2926829268292683 0.1951219512195122 0.2439024390243902 0.1463414634146341 0.1463414634146341 0.3658536585365854 0.6097560975609756 0.6585365853658537 0.6829268292682927 0.6097560975609756 0.6829268292682927 0.6829268292682927 0.6585365853658537 0.7317073170731707 0.8292682926829268 0.9512195121951219 0 
1 1.0208 1.22629 1.38478 1.98973 2.64267 4.49779 7.17831 9.2926 14.6156 32.8697 89.8808 261.112 579.192 1722.02 5831.21 15086.8 48584.2 165481 1e+06 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 1 1 0 0.119047619047619 0.3095238095238095 0.1666666666666667 0.2857142857142857 0.1904761904761905 0.2380952380952381 0.1428571428571428 0.1428571428571428 0.3809523809523809 0.5952380952380952 0.6666666666666666 0.6666666666666666 0.6190476190476191 0.6904761904761905 0.6904761904761905 0.6428571428571429 0.7380952380952381 0.8333333333333334 0.9523809523809523 0 
1 1.0208 1.22629 1.38478 1.98973 2.64267 4.49779 7.17831 9.2926 14.6156 31.6368 92.7774 252.444 593.563 1659.2 5768.39 15024 48521.4 165418 1e+06 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 1 0 0.1162790697674419 0.3023255813953488 0.1627906976744186 0.2790697674418605 0.186046511627907 0.2325581395348837 0.1395348837209302 0.1395348837209302 0.3720930232558139 0.5813953488372093 0.6744186046511628 0.6511627906976745 0.6279069767441861 0.6744186046511628 0.6976744186046512 0.6511627906976745 0.7441860465116279 0.8372093023255814 0.9534883720930233 0 
1 1.0208 1.22629 1.38478 1.98973 2.64267 4.49779 7.17831 9.2926 14.2585 32.5038 93.6443 242.599 583.718 1649.36 6054.05 14688.7 48186.1 165083 1e+06 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 1 0 0.1136363636363636 0.2954545454545455 0.1590909090909091 0.2727272727272727 0.1818181818181818 0.2272727272727273 0.1363636363636364 0.1363636363636364 0.3636363636363636 0.5909090909090909 0.6590909090909091 0.6363636363636364 0.6363636363636364 0.6818181818181818 0.7045454545454546 0.6363636363636364 0.75 0.8409090909090909 0.9545454545454546 0 
