totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
847734.4923242187 -13677.7551147387 -13701.93757752845 437557.0925082429 437557.0925082429 338.7139629369172 0 0 338.7139629369172 -6.206778379787981 344.9207413167052
847803.0045432397 -13647.14645880935 -13664.03401443687 437557.0925082429 437557.0925082429 338.3474244797453 0 0 338.3474244797453 -6.206778379787981 344.5542028595332
847823.4714593256 -13628.25795680645 -13662.45560035377 437557.0925082429 437557.0925082429 335.8360667810915 0 0 335.8360667810915 -6.206778379787981 342.0428451608795
847922.8097341917 -13584.26190916552 -13607.11337312855 437557.0925082429 437557.0925082429 338.5390062644719 0 0 338.5390062644719 -6.206778379787981 344.7457846442599
847949.5153669899 -13570.57726819995 -13594.09238129598 437557.0925082429 437557.0925082429 337.6402918124039 0 0 337.6402918124039 -6.206778379787981 343.8470701921919
847967.2625738366 -13565.35214845487 -13581.57029419431 437557.0925082429 437557.0925082429 336.9601484600477 0 0 336.9601484600477 -6.206778379787981 343.1669268398356
847992.0376663883 -13555.633005437 -13566.5143446605 437557.0925082429 437557.0925082429 336.4875856206764 0 0 336.4875856206764 -6.206778379787981 342.6943640004644
848028.2824264087 -13531.55620980576 -13554.34638027137 437557.0925082429 437557.0925082429 336.4000094427101 0 0 336.4000094427101 -6.206778379787981 342.6067878224981
848046.2183449243 -13526.31093910098 -13541.65573246053 437557.0925082429 437557.0925082429 335.5129164871044 0 0 335.5129164871044 -6.206778379787981 341.7196948668924
848080.7108551036 -13507.34066526566 -13526.1334961166 437557.0925082429 437557.0925082429 334.3587173060945 0 0 334.3587173060945 -6.206778379787981 340.5654956858825
848086.7169985239 -13510.431835499 -13517.03618246293 437557.0925082429 437557.0925082429 335.2390466896142 0 0 335.2390466896142 -6.206778379787981 341.4458250694022
848128.0206321094 -13480.84584838025 -13505.3185359962 437557.0925082429 437557.0925082429 335.2066897485179 0 0 335.2066897485179 -6.206778379787981 341.4134681283059
848144.6485681968 -13484.79983940775 -13484.73660888129 437557.0925082429 437557.0925082429 335.1218953589596 0 0 335.1218953589596 -6.206778379787981 341.3286737387476
848165.6545899026 -13463.32613073112 -13485.20429585205 437557.0925082429 437557.0925082429 336.3415329808295 0 0 336.3415329808295 -6.206778379787981 342.5483113606174
848183.1051394753 -13465.49748565892 -13465.58239135169 437557.0925082429 437557.0925082429 335.9786070978971 0 0 335.9786070978971 -6.206778379787981 342.1853854776851
848182.0274708986 -13458.4111161815 -13473.7464294058 437557.0925082429 437557.0925082429 336.1753371946893 0 0 336.1753371946893 -6.206778379787981 342.3821155744773
848213.1078240118 -13451.24574688059 -13449.83144559343 437557.0925082429 437557.0925082429 336.087974948207 0 0 336.087974948207 -6.206778379787981 342.294753327995
848222.4921631448 -13436.2755868813 -13455.41726645975 437557.0925082429 437557.0925082429 336.1921977967703 0 0 336.1921977967703 -6.206778379787981 342.3989761765583
848238.5425265512 -13426.66006875701 -13448.98242117766 437557.0925082429 437557.0925082429 336.1245802759462 0 0 336.1245802759462 -6.206778379787981 342.3313586557342
848251.4603813831 -13430.17512186488 -13432.54951323784 437557.0925082429 437557.0925082429 335.531458797242 0 0 335.531458797242 -6.206778379787981 341.73823717703
848262.7367435531 -13423.85098161136 -13427.59729132136 437557.0925082429 437557.0925082429 336.7276350066596 0 0 336.7276350066596 -6.206778379787981 342.9344133864475
848277.3614540765 -13419.05503239444 -13417.76853001494 437557.0925082429 437557.0925082429 335.3532249209694 0 0 335.3532249209694 -6.206778379787981 341.5600033007573
848274.0514113458 -13418.33443804395 -13421.79916709601 437557.0925082429 437557.0925082429 336.2265248845593 0 0 336.2265248845593 -6.206778379787981 342.4333032643473
848290.9843150148 -13409.21030759186 -13413.99039387922 437557.0925082429 437557.0925082429 335.5130769159408 0 0 335.5130769159408 -6.206778379787981 341.7198552957287
848284.2650170014 -13414.62701259917 -13415.29298688535 437557.0925082429 437557.0925082429 336.2402297760678 0 0 336.2402297760678 -6.206778379787981 342.4470081558558
848309.4875696443 -13401.66989771405 -13403.02754912749 437557.0925082429 437557.0925082429 335.0827500040331 0 0 335.0827500040331 -6.206778379787981 341.2895283838211
848312.6666088968 -13406.8761488786 -13394.64225871038 437557.0925082429 437557.0925082429 331.0815489975046 0 0 331.0815489975046 -6.206778379787981 337.2883273772925
848324.3989756412 -13399.2741844884 -13390.51185635621 437557.0925082429 437557.0925082429 331.802549960412 0 0 331.802549960412 -6.206778379787981 338.0093283402
848328.4597965612 -13397.81356175955 -13387.91165816514 437557.0925082429 437557.0925082429 333.4909420718635 0 0 333.4909420718635 -6.206778379787981 339.6977204516514
848354.9253511783 -13370.9326380961 -13388.32702721155 437557.0925082429 437557.0925082429 330.7446343927512 0 0 330.7446343927512 -6.206778379787981 336.9514127725391
848387.8924044076 -13359.24472751809 -13367.04788456014 437557.0925082429 437557.0925082429 332.8154303839401 0 0 332.8154303839401 -6.206778379787981 339.022208763728
848420.5138771597 -13341.89402108141 -13351.77711824485 437557.0925082429 437557.0925082429 332.9137176856427 0 0 332.9137176856427 -6.206778379787981 339.1204960654306
848433.5673514786 -13336.59827156256 -13344.01939344467 437557.0925082429 437557.0925082429 333.5750425211161 0 0 333.5750425211161 -6.206778379787981 339.7818209009041
848442.2937823012 -13332.1475253571 -13339.74370882744 437557.0925082429 437557.0925082429 332.7983684621772 0 0 332.7983684621772 -6.206778379787981 339.0051468419651
848474.6189829368 -13318.40721714448 -13321.15881640456 437557.0925082429 437557.0925082429 331.8735476341119 0 0 331.8735476341119 -6.206778379787981 338.0803260138999
848490.8838451307 -13310.16325923934 -13313.13791211582 437557.0925082429 437557.0925082429 333.135570302116 0 0 333.135570302116 -6.206778379787981 339.342348681904
848489.9126711269 -13309.91975009119 -13314.35259526781 437557.0925082429 437557.0925082429 333.7114093980463 0 0 333.7114093980463 -6.206778379787981 339.9181877778342
848496.0245272384 -13307.14193690195 -13311.0185523454 437557.0925082429 437557.0925082429 333.5502461753575 0 0 333.5502461753575 -6.206778379787981 339.7570245551455
848522.5776239891 -13294.69924036694 -13296.90815212982 437557.0925082429 437557.0925082429 332.9263355891766 0 0 332.9263355891766 -6.206778379787981 339.1331139689646
848539.90796893 -13284.64693162811 -13289.63011592784 437557.0925082429 437557.0925082429 330.3660154735996 0 0 330.3660154735996 -6.206778379787981 336.5727938533876
